trade_date,symbol,refined_factor_id,source_factor_id,refinement_type,factor_family,factor_value,factor_value_normalized_cross_sectional,factor_quantile,factor_bucket,expected_direction,forward_return_1d,forward_return_5d,forward_return_20d,benchmark_excess_return_1d,benchmark_excess_return_5d,benchmark_excess_return_20d,source_provider,universe_mode,panel_contract_status,risk_score_bucket,downside_risk_bucket,mvp_review_queue_category,mvp_review_priority_level,no_lookahead_status,diagnostic_mode,non_actionable_disclaimer
2025-11-19,000001.SZ,alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,,,,INSUFFICIENT_REFINED_FACTOR_EVIDENCE_REVIEW_ONLY,higher_positive,0.0042372881,-0.0093220339,-0.0228813559,0.0093249981,0.0060794917,-0.0210468607,baostock,p02b_universe,p02b_ready,LOW_RISK_REVIEW_ONLY,LOW_DOWNSIDE_RISK_REVIEW_ONLY,liquidity_review_queue,LIQUIDITY_REVIEW,passed_current_or_past_only,research_only_refined_alpha_factor_validity_evaluation_gate,research_only
2025-11-19,000001.SZ,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,,,,INSUFFICIENT_REFINED_FACTOR_EVIDENCE_REVIEW_ONLY,higher_positive,0.0042372881,-0.0093220339,-0.0228813559,0.0093249981,0.0060794917,-0.0210468607,baostock,p02b_universe,p02b_ready,LOW_RISK_REVIEW_ONLY,LOW_DOWNSIDE_RISK_REVIEW_ONLY,liquidity_review_queue,LIQUIDITY_REVIEW,passed_current_or_past_only,research_only_refined_alpha_factor_validity_evaluation_gate,research_only
2025-11-19,000001.SZ,alpha_price_volume_confirmation_5d__downside_risk_filtered,alpha_price_volume_confirmation_5d,downside_risk_filtered,price_volume_confirmation,,,,INSUFFICIENT_REFINED_FACTOR_EVIDENCE_REVIEW_ONLY,higher_positive,0.0042372881,-0.0093220339,-0.0228813559,0.0093249981,0.0060794917,-0.0210468607,baostock,p02b_universe,p02b_ready,LOW_RISK_REVIEW_ONLY,LOW_DOWNSIDE_RISK_REVIEW_ONLY,liquidity_review_queue,LIQUIDITY_REVIEW,passed_current_or_past_only,research_only_refined_alpha_factor_validity_evaluation_gate,research_only
2025-11-19,000001.SZ,alpha_risk_adjusted_relative_strength__downside_risk_filtered,alpha_risk_adjusted_relative_strength,downside_risk_filtered,risk_adjusted_alpha_candidate,,,,INSUFFICIENT_REFINED_FACTOR_EVIDENCE_REVIEW_ONLY,higher_positive,0.0042372881,-0.0093220339,-0.0228813559,0.0093249981,0.0060794917,-0.0210468607,baostock,p02b_universe,p02b_ready,LOW_RISK_REVIEW_ONLY,LOW_DOWNSIDE_RISK_REVIEW_ONLY,liquidity_review_queue,LIQUIDITY_REVIEW,passed_current_or_past_only,research_only_refined_alpha_factor_validity_evaluation_gate,research_only
2025-11-19,000001.SZ,alpha_vol_adj_momentum_20d__downside_risk_filtered,alpha_vol_adj_momentum_20d,downside_risk_filtered,volatility_adjusted_momentum,,,,INSUFFICIENT_REFINED_FACTOR_EVIDENCE_REVIEW_ONLY,higher_positive,0.0042372881,-0.0093220339,-0.0228813559,0.0093249981,0.0060794917,-0.0210468607,baostock,p02b_universe,p02b_ready,LOW_RISK_REVIEW_ONLY,LOW_DOWNSIDE_RISK_REVIEW_ONLY,liquidity_review_queue,LIQUIDITY_REVIEW,passed_current_or_past_only,research_only_refined_alpha_factor_validity_evaluation_gate,research_only
2025-11-19,000001.SZ,alpha_vol_adj_momentum_5d__downside_risk_filtered,alpha_vol_adj_momentum_5d,downside_risk_filtered,volatility_adjusted_momentum,,,,INSUFFICIENT_REFINED_FACTOR_EVIDENCE_REVIEW_ONLY,higher_positive,0.0042372881,-0.0093220339,-0.0228813559,0.0093249981,0.0060794917,-0.0210468607,baostock,p02b_universe,p02b_ready,LOW_RISK_REVIEW_ONLY,LOW_DOWNSIDE_RISK_REVIEW_ONLY,liquidity_review_queue,LIQUIDITY_REVIEW,passed_current_or_past_only,research_only_refined_alpha_factor_validity_evaluation_gate,research_only
2025-11-19,000002.SZ,alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,,,,INSUFFICIENT_REFINED_FACTOR_EVIDENCE_REVIEW_ONLY,higher_positive,0.0231023102,-0.0280528053,-0.1815181518,0.0281900202,-0.0126512796,-0.1796836566,baostock,p02b_universe,p02b_ready,LOW_RISK_REVIEW_ONLY,LOW_DOWNSIDE_RISK_REVIEW_ONLY,high_downside_risk_review_queue,RISK_REVIEW,passed_current_or_past_only,research_only_refined_alpha_factor_validity_evaluation_gate,research_only
2025-11-19,000002.SZ,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,,,,INSUFFICIENT_REFINED_FACTOR_EVIDENCE_REVIEW_ONLY,higher_positive,0.0231023102,-0.0280528053,-0.1815181518,0.0281900202,-0.0126512796,-0.1796836566,baostock,p02b_universe,p02b_ready,LOW_RISK_REVIEW_ONLY,LOW_DOWNSIDE_RISK_REVIEW_ONLY,high_downside_risk_review_queue,RISK_REVIEW,passed_current_or_past_only,research_only_refined_alpha_factor_validity_evaluation_gate,research_only
2025-11-19,000002.SZ,alpha_price_volume_confirmation_5d__downside_risk_filtered,alpha_price_volume_confirmation_5d,downside_risk_filtered,price_volume_confirmation,,,,INSUFFICIENT_REFINED_FACTOR_EVIDENCE_REVIEW_ONLY,higher_positive,0.0231023102,-0.0280528053,-0.1815181518,0.0281900202,-0.0126512796,-0.1796836566,baostock,p02b_universe,p02b_ready,LOW_RISK_REVIEW_ONLY,LOW_DOWNSIDE_RISK_REVIEW_ONLY,high_downside_risk_review_queue,RISK_REVIEW,passed_current_or_past_only,research_only_refined_alpha_factor_validity_evaluation_gate,research_only
2025-11-19,000002.SZ,alpha_risk_adjusted_relative_strength__downside_risk_filtered,alpha_risk_adjusted_relative_strength,downside_risk_filtered,risk_adjusted_alpha_candidate,,,,INSUFFICIENT_REFINED_FACTOR_EVIDENCE_REVIEW_ONLY,higher_positive,0.0231023102,-0.0280528053,-0.1815181518,0.0281900202,-0.0126512796,-0.1796836566,baostock,p02b_universe,p02b_ready,LOW_RISK_REVIEW_ONLY,LOW_DOWNSIDE_RISK_REVIEW_ONLY,high_downside_risk_review_queue,RISK_REVIEW,passed_current_or_past_only,research_only_refined_alpha_factor_validity_evaluation_gate,research_only
